Q_No,Question,O1,O2,O3,O4,Answer
1,How many Bytes are stored by ‘Long’ Data type in C# .net?,8,4,2,1,O1
2,Choose “.NET class” name from which data type “UInt” is derived?,System.Int16,System.UInt32,System.UInt64,System.UInt16,O2
3,Correct Declaration of Values to variables ‘a’ and ‘b’?," int a = 32, b = 40.6;",int a = 42; b = 40;,int a = 32; int b = 40;, int a = b = 42;,O3
4,"Arrange the following data type in order of increasing magnitude sbyte, short, long, int.",long < short < int < sbyte,sbyte < short < int < long,short < sbyte < int < long,short < int < sbyte < long,O3
5,Which data type should be more preferred for storing a simple number like 35 to improve execution speed of a program?, sbyte,short,int   ,long,O1
6,"Correct way to assign values to variable ‘c’ when int a=12, float b=3.5, int c;",c = a + b;,c = a + int(float(b));,c = a + convert.ToInt32(b);,c = int(a + b);,O3
7,Default Type of number without decimal is?,Long Int,Unsigned Long,Int,Unsigned Int,O3
8,"What will be the output of the following C# code? static void Main(string[] args)
 {
     float a = 10.553f;
     long b = 12L;
     int  c;
     c = Convert.ToInt32(a + b);
     Console.WriteLine(c);
 }",23.453,22,23,22.453,O3
9,Select a convenient declaration and initialization of a floating point number:,float somevariable = 12.502D,float somevariable = (Double) 12.502D,float somevariable = (float) 12.502D, float somevariable = (Decimal)12.502D,O3
10,Number of digits upto which precision value of float data type is valid?,6 digits,8 digits,9 digits,7 digits,O4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
